rung,epochs,val_loss,lr,latent,batch,wd
0,5,0.019534101709723473,0.005483601084664362,16,8,0.0
0,5,0.04294903576374054,0.00015275078714108392,6,16,0.0
0,5,0.03163878992199898,0.0032013552965197696,2,8,0.0
0,5,0.03740619495511055,0.002376797718140347,6,8,0.0002746510326112914
0,5,0.03811022266745567,0.0006951460695863724,12,16,4.52752450823718e-05
0,5,0.02685544826090336,0.002116816654734444,12,8,0.0
0,5,0.038884807378053665,0.0009510628630210459,6,16,0.0
0,5,0.038336481899023056,0.0005719451989650235,4,16,1.2045599288399717e-05
0,5,0.03794483467936516,0.011032883922542203,4,16,0.0004339972181513623
0,5,0.03803640604019165,0.0005696593667818252,4,8,0.0
0,5,0.04144125059247017,0.0002285346211658566,24,16,1.623455723890538e-06
0,5,0.042003389447927475,0.00036029648872542495,6,16,4.7585451691347105e-06
0,5,0.03434887155890465,0.0010716331096644635,12,8,2.896032553660431e-06
0,5,0.042445600032806396,0.0005057391332642901,6,32,0.0
0,5,0.037848107516765594,0.007408254380633949,24,16,0.0003288326591825878
0,5,0.0379982516169548,0.0005108740082112031,16,16,0.0
0,5,0.04221413657069206,0.0003112044540554888,6,16,0.0
0,5,0.038234103471040726,0.0004737000276881404,2,16,0.0
1,15,0.01392423640936613,0.005483601084664362,16,8,0.0
1,15,0.01721108891069889,0.002116816654734444,12,8,0.0
1,15,0.030728235840797424,0.0032013552965197696,2,8,0.0
1,15,0.02044454589486122,0.0010716331096644635,12,8,2.896032553660431e-06
1,15,0.025159073993563652,0.002376797718140347,6,8,0.0002746510326112914
1,15,0.03778434172272682,0.007408254380633949,24,16,0.0003288326591825878
2,45,0.014243747107684612,0.005483601084664362,16,8,0.0
2,45,0.015859605744481087,0.002116816654734444,12,8,0.0
